Date;RUONIA
26.09.2013;6.48
27.09.2013;6.48
30.09.2013;6.53
01.10.2013;6.23
02.10.2013;5.85
03.10.2013;5.83
04.10.2013;5.36
07.10.2013;4.71
08.10.2013;4.74
09.10.2013;5.98
10.10.2013;6.04
11.10.2013;6.14
14.10.2013;6.36
15.10.2013;6.17
16.10.2013;6.11
17.10.2013;6.04
18.10.2013;5.98
21.10.2013;6.1
22.10.2013;6.13
23.10.2013;5.99
24.10.2013;6
25.10.2013;6.23
28.10.2013;6.46
29.10.2013;6.37
30.10.2013;6.37
31.10.2013;6.34
01.11.2013;6.26
05.11.2013;6.25
06.11.2013;6.28
07.11.2013;6.24
08.11.2013;5.36
11.11.2013;5.51
12.11.2013;5.83
13.11.2013;5.9
14.11.2013;6
15.11.2013;5.97
18.11.2013;6.03
19.11.2013;6.01
20.11.2013;6.01
21.11.2013;6.14
22.11.2013;6.25
25.11.2013;6.41
26.11.2013;6.47
27.11.2013;6.36
28.11.2013;6.5
29.11.2013;6.51
02.12.2013;6.45
03.12.2013;6.42
04.12.2013;6.05
05.12.2013;6.43
06.12.2013;6.38
09.12.2013;6.28
10.12.2013;6.49
11.12.2013;6.47
12.12.2013;6.31
13.12.2013;6.36
16.12.2013;6.52
17.12.2013;6.49
18.12.2013;6.52
19.12.2013;6.51
20.12.2013;6.6
23.12.2013;6.55
24.12.2013;6.39
25.12.2013;6.48
26.12.2013;6.58
27.12.2013;6.5
30.12.2013;6.24
09.01.2014;5.51
10.01.2014;5.84
13.01.2014;6.31
14.01.2014;5.69
15.01.2014;5.6
16.01.2014;5.68
17.01.2014;5.94
20.01.2014;6.03
21.01.2014;6.18
22.01.2014;6.32
23.01.2014;6.19
24.01.2014;6.1
27.01.2014;6.29
28.01.2014;6.23
29.01.2014;6.27
30.01.2014;6.33
31.01.2014;6.29
03.02.2014;6.27
04.02.2014;6.22
05.02.2014;5.83
06.02.2014;5.56
07.02.2014;4.87
10.02.2014;5.5
11.02.2014;6.07
12.02.2014;5.87
13.02.2014;5.56
14.02.2014;5.83
17.02.2014;6.14
18.02.2014;6.07
19.02.2014;6
20.02.2014;6.02
21.02.2014;6.25
24.02.2014;5.99
25.02.2014;6.38
26.02.2014;6.29
27.02.2014;6.23
28.02.2014;6.32
03.03.2014;7.44
04.03.2014;7.7
05.03.2014;7.7
06.03.2014;7.68
07.03.2014;7.64
11.03.2014;7.94
12.03.2014;7.95
13.03.2014;7.93
14.03.2014;7.53
17.03.2014;7.6
18.03.2014;7.77
19.03.2014;7.84
20.03.2014;7.94
21.03.2014;7.92
24.03.2014;7.84
25.03.2014;8.03
26.03.2014;7.97
27.03.2014;8
28.03.2014;8.04
31.03.2014;8.15
01.04.2014;7.95
02.04.2014;7.75
03.04.2014;7.76
04.04.2014;7.66
07.04.2014;7.67
08.04.2014;7.64
09.04.2014;6.5
10.04.2014;7.34
11.04.2014;7.58
14.04.2014;7.76
15.04.2014;7.78
16.04.2014;7.76
17.04.2014;7.8
18.04.2014;7.84
21.04.2014;7.9
22.04.2014;7.85
23.04.2014;7.88
24.04.2014;7.84
25.04.2014;8.09
28.04.2014;8.48
29.04.2014;8.55
30.04.2014;8.69
05.05.2014;8.47
06.05.2014;8.46
07.05.2014;7.98
08.05.2014;7.03
12.05.2014;8.32
13.05.2014;8.24
14.05.2014;8.2
15.05.2014;8.27
16.05.2014;8.36
19.05.2014;8.42
20.05.2014;8.46
21.05.2014;8.3
